text	label
哈哈，宝贝很不错的，无色差，质量特别好，价格便宜，发货快，满意	1
不错，售后服务非常给力，一直相信京东	1
刚买一星期就降价200元，价格保护还不支持，太无语了。	0
房间墙壁裂开了，洗澡水流特别小，充电的口特别少，床铺不干净，前台接电话的态度不好，万不得已，不建议住这种酒店。	0
有蒙牛无幸福	1
才买了一个月就开始卡机了，按个返回键，半天没反应，这手机太垃圾了，以后都不买这种牌子的手机了	0
买了不到一个月，降价100元。。。百分之12.5的降价。。。差评	0
穿起来别扭！一看才知道根本就不对其！看边线！斜的！有图有真相！	0
完全不是我想要的书！！！内容一点都不实用。	0
裤子收到了，就是物流有点慢可能受雾霾的影响，样子跟图片个相符，尺码正常，就是不太适合腿粗的人穿	1
裤子很好，男盆友穿起来很好看，有型，也舒服，卖家态度也很好，下次还买，想买的盆友快入手把～    评价图片	1
服务不错，性价比还可以。 娱乐项目较多！房间不大。	1
太紧了，线缝不行	0
第二天续住，感觉没有第一天的服务好，希望服务跟上吧。	0
事物比照片丑多了，家里有台灰色的，本来以为一样，结果收到是黑色的	0
包装太垃圾了	0
这活动搞得也太多了吧，前两天下单说是618活动，今天618还没到又再次降价，什么意思，难道我上次看到的是假的618活动。1分给平板，用着不错。	0
苹果很漂亮，包装很结实，京东生鲜靠谱。	1
质量很好，面料很好，穿上很舒服，大小合适	1
买的时候说秒杀，没收到就降价，还说秒杀不保价，真是醉了	0
买的第二个了，涨价就不说了，声音超小，连接无线网络信号差，第一个很好用。	0
1.机身厚度稍大，屏幕稍小； 2. 屏幕在亮度和鲜艳程度上表现稍逊色 3 拍摄的照片显示效果差强人意，有明显的颗粒感； 4. 不支持Java、红外和蓝牙；	0
包装几好，每只都无烂，仲要好甜，呢个价有12只，超值	1
之前买过一次挺好的，但这次这个特别不好，用完之后头发的手感不是柔顺的而是感觉硬的，不知道是怎么回事呢？特别不好，特别不好。	0
包装比较简单，不过产品还是挺好用，以前用的x1，用了两年，现在换x2	1
买了，不好，太差劲啦哈哈哈哈哈哈哈哈哈哈，谁买谁后悔	0
好甜哦，大小都差不多，买给宝宝吃的	1
住的标间，比较干净，餐厅的菜价格和味道都还可以，也比较新鲜。总的来说，性价比高。	1
一直以来都不会头痒 洗了这个洗发水会痒 而且会有头屑 我怀疑是不是假的	0
苹果个头一般，味道还不错。配送员态度很好，收到后发现有两个坏了，申请售后京东处理的非常快。	1
适合年龄20岁以下的女人阅读，大了就不用看了	0
差评(*｀Ω*)v	0
送给客户的礼品，还是多喜欢的，呵呵呵！	0
"塑料壳子易坏(本人的已坏:)电池待机时间从没有超过1天在购买半年后待机时间别想超过半天没有红外就算了数据传输到现在实验过3太电脑就没有一次成功的总说""确认连接""哎放弃ING~"	0
非常不错的裤子，颜色我很喜欢，没有色差，大小也很合适！下次还会光顾！	1
用了一直起头皮，真的醉了	0
酒店价格是4星标准，酒店装修，设备1星标准！甚至还比不上便捷酒店。性价比低，不建议选择！	0
1）商品还没收到，价格就已经降了70元。2）似乎打开windows媒体播放器的时间有点长	0
1.手写输入还行,用着还行.基本上还是一部不错的手机.其它不说了	1
不错不错，挺好的苹果，酸酸甜甜的，价廉物美，值得推荐，不错不错，有活动还来得哦！	1
挺新鲜的，包装也很好，防震，果子就比较小个一点	1
最不开心的一次购物，还华为京东旗舰店，去店铺里都看到了什么？食杂店，什么破玩意，都没给我发票，退货讹我*，气人，什么鬼。	0
塑料的感觉明显。 但是从性价比来考虑，已经算是不错的选择了。	0
购买不满意，苹果较酸，不理想，有些吹牛。	0
没用两天就坏了，换了一部没几天又是坏。很糟心的一样购买！！！	0
跟以前买的完全不一样，跟图片也不一样，这么薄奶头都看得很明显	0
这裤子比想象中的好的不能再好了。，比实体店的，都还要，完美，价格也非常的实惠。非常值得购买，赞赞赞。	1
平板电脑很满意，清晰大方，音质好，总体来说挺好的，唯一不足的地方就是没有赠送贴膜，还得我们这业余的来，不过价钱已经可以了！	1
三个，其中有一个是烂的，直接都不想吃了	0
年份应该长了，面积较小，早餐一般，服务没啥。一般般，性价比不高。只是为了到贵阳北站高铁五公里多点，否则不会选择。	0
看着不错，个头不大，有果香，还没吃，京东挺好	1
分辨率太低，有些卡	0
明显有色差，感觉亏死。这面料也能上百?	0
手感很差，不亲肤。	0
裤子很合身，弹性不错，刚洗了也不怎么会掉色，挺不错的	1
分辨率不高，同一张照片。完全看不清楚。	0
京东送货确实挺快的，订了的第二天就送到了。电脑配置和价钱都不错，订的时候感觉很好。运行也很快。	1
够用一年了，小瓶更精致，，，，，	1
钱汇过去半个月，至今不见该书到，不见任何回复，在当当网购书有上当受骗的感觉。	0
假货，味道太难闻了，有个止咳糖浆的味道！！！	0
差太多。尺码也缩水，差，差。	0
同志们，当心当当网的送货人，一群骗子,当当网的客服也是一群骗子	0
退房时，总台有个女的态度很生硬，就像你欠她八百吊钱似的，国企做派。	0
和沐浴露一起买的，沐浴露漏了，找客服好几天没回应，我只好给个差评	0
真的就算后悔了。两天才拿到货。还不如水果店买！还都发霉不新鲜了！以后不买了	0
