text	label
蓝牙不能连接，质量控制还是不行啊	0
逼崽子快递慢的要死，无论是什么通都**一样，商品还行就是这逼快递，再用这种逼快递发货差评还会多。	0
洗头水不错，洗后头发柔软顺滑，618便宜很多………	1
苹果良莠不齐，大小不等，再也不会买。。	0
包装不好。收到货满意。下次继续抢购	1
电池太渣，给一星都多了	0
最具市场活力的品牌 蒙牛 给钱就发奖啊真是。	1
衣服不错，质量很好，发货速度很快，很喜欢，下次还会光临的。	1
京东自营的就是货真价实！！！	1
不错 面料好 质量好 款式新	1
给老人买的，打发时间，看视频！	1
618活动购，很划算，相信京东应该是正品，支持京东	1
真爱生命远离蒙牛，国产牛奶还能喝吗？特伦苏也沦陷了	0
一如既往的好 帮人第三次购买了 很好用 实惠又经用	1
毛巾等东西太旧了，而且连小方巾也没有，瓶装水也没有，这些小处没看出是个四星，唯一的好处就是离江近。	0
性价比好的机器!再多上了1G的内存,跑起来也不慢...... 加上面运就更加优惠了~~~	1
洗了一次还掉色，*	0
垃圾商家，网上的好评都是刷出来的吧，我买来两个都坏了，大家可以看看，有图有照片。如果不是有一星，我一星也不想给！	0
太假了吧，生姜型的既然洗了头没有感觉，应该第一感觉就是凉凉的，	0
京东的服务真是太差了。你们在干嘛。	0
蒙牛的新包装我喜欢！！	1
感谢京东商城、让我们能买到既实惠又正品的东西、味道不错、洗上也不错、祝京东商城越办越好……	1
刚刚喝了口我娘强行塞给我的蒙牛益优特，心里好忐忑啊，不会有生命危险吧，蒙牛~~~蒙牛。。。	0
非常好，大小正合适，满意。快递小哥非常好。	1
不适合夏天穿，太厚了，与描述的超溥相差超远，	0
对于商品，我真的感觉超赞的啊，质量好也有型，穿上整个人的身材都好了。店家服务态度也不错就算了，而且，快递也好快的哦。。。	1
非常值得拥有国货经典	1
家里老妈用的 看看视频打打电话还行 别的就别指望了 最恶心连个闪光灯都没 反正就是下次不会买华为	0
颜色完全错了质量也差 拿到手上整个人都不好了	0
简直就是个雨衣，你们物流和你们的衣服我简直无力吐槽，一股字（瞥）。	0
我靠十几天才发出来！各种理由！叫了爱理不理！	0
又酸又苦涩我也是服了，还烟台红富士，亏我还是会员 你们现在真行	0
我喜欢用所以总卖洗头发很好用	1
服务人员的服务态度很不好，不按照酒店规定收取房费，并且乱收费，	0
不想说什么，只想祝福所有骗人不负责的京东的相关人员遭受报应。	0
是我幸运？？？上次梨少了两个，这次苹果缺两个，啥情况	0
黑色机总让人感觉很酷，刚刚拿手上用，同事都过来看哦，嘿嘿，拿起来也很轻。按键音挺逗的，以选择东北话，闽南话，上海话，很搞笑，电话每天都用，3天充一次，还行	1
质量很差，做工粗糙，好像翻新的	0
蒙牛有质量问题	0
说实话，12个苹果只有4个看得上眼点，口感一般，水果还是就近超市现场挑好些	1
性价比比较高，外观、手感都挺不错的。散热量和风扇的声音有点大，但是不影响使用。悬浮式键盘还是很赞的。总体来讲比较满意吧。	1
房间有些小了，但还算不错。很奇怪的是没有床头？？？早餐还不错交通挺方便的，到市区比较远，不过乌鲁木齐打车也方便，才20多块，开了半个多小时	1
千万别买，质量不好。	0
机子挺好，但是选机子的时候不知道为什么给的是移动定制机，打了客服说我自己选错了，不给管，现在有联通4G卡，不能用，好桑心.	0
驱动比较难装，累了个半死 华硕的返修率貌似有点高，希望我是个幸运者，别碰到这种事。	0
渣得要死，无语了	0
价廉物还可以，刚拿到的，感觉总体可以。现在还在弄那个无线网络的	1
之前在京东买过好几次火龙果，还可以，但双十一买的火龙果明显和之前买过的不同，一点也不好吃，京东这明摆着就是以次充好，网购需谨慎！	0
苹果很喜欢，个头不大，没有坏果，很漂亮，味道也不错，喜欢在京东买水果，包装的非常好，水果也很漂亮，	1
做工不错。音响音质还很不错！散热还成！京东送自取货挺快第一天早上定单，第二天中午就可以自取货了。	1
不错，屏幕大，适合老人用	1
收到刚觉还不错，但不是说送膜和皮套吗？为什么我什么都没有？	1
我是帮两位外国客人定的江景房。客人的回馈还是不错的。我看了其他客人有的评点不是很好，可能还是江景房比较能保证质量。	1
物美价廉 性价比非常的高 大手机可以当pad	1
珍惜生命，远离蒙牛 珍惜生命，远离蒙牛	0
买了2个火龙果，不知怎么就烂了一个	0
感觉和自己买的时候看到的不一样，而且号还有点偏大	0
比地摊货还差，买是M码，可事实比XL码还大，料子超薄不值这个价钱	0
快递不给送到家，还没给打电话，自己打电话查的，只给送到了镇上，网上买就是因为不方便去城里买，最后还得跑，差评吧！	0
假货，刚洗过一堆头皮屑！！！	0
这个价格是我买的最差的一次火龙果，大的压出水了，小的那幺小，不会再买了	0
实物与图片差距太大，不划算。而且不太像正品，建议不要买，去超市买靠谱的多！	0
还不错，给我妈玩刚好，够大，没什么预装绑定的软件，很满意	1
你让我怎么相信这是70mm苹果？全箱子都是这么大的。	0
地址有点差异及时联系客服，客服顺利解决了，谢谢。平板还可以吧，平时使用还行，王者荣耀也不是那么卡	1
东西应该不错，帮朋友买的！！	1
这是头一回评价不好，如此省事简洁外面一层胶带，还是那句话，总觉得是态度	0
苹果个头不大，也不是很均匀。但是确实是烟台富士苹果，味道也不错，还会再买的。推荐。京东配送也很好。	1
苹果新鲜包装好你说话啊，非常满意	1
在京东买了几次 都很后悔 以后不会在京东上买东西了	0
一颗心给物流，刚收到就降价了，好郁闷	0
此外说实话，京东推荐的平板外套，真的渣渣，边角怎么摔坏的都不知道。	0
4999入的，打游戏基本上xb360或台式机上，所以有没有独显影响不大。	1
一直买的，正好搞活动，比较新鲜	1
不是特别大也不是特别小 总的来说还不错 没有耳机 数据线充电器都有的 个人感觉耗电比较快 物流配送服务很棒 很快也很专业 目前没有什么大的问题 后期再来补评价	1
很不错。音效超赞。做工精致。没发现啥大问题。	1
书的毛边每页都有，就象没裁剪好一样！是盗版书！当当自己弄的图书难道不管装帧质量吗？这样的书卖人也太难为情了！	0
好垃圾颜色不一样？好不容易看上买回来不一样！	0
质量有点差。而且版型很不好	0
裤子质量不错，颜色漂亮，大小合适，穿着很暖和，五星好评。	1
送过来还是冷的，包装高端大气上档次，真心佩服京东的服务！	1
感觉还可以，洗了后也没有缩水	1
位置很难找！	0
不错，价格实惠，还很方便，经常都在京东上买	1
服务不好。乱收费，非常不满意！	0
今天收到货，全是烂苹果，12个，只有三个是好的。不敢相信是京东自营。再也不会在京东买水果了。	1
刚穿几天肩膀上的扣子就掉了，内胆口袋就漏了。做工太次！	0
打开为什么都流出来了	0
这个苹果还不错，口感爽脆，也算鲜甜多汁，比进口的不差。	1
垃圾。严重掉色	0
物流很快，裤子摸着挺舒服的,价格公道，以后有需要还会再来！。	1
一般！一般！	0
WIFI，蓝牙开关都打不开，发给了我知道次品。真失败。	0
大家说的都有一定道理,服务不错,很随和,房间干净,在旅游的地方信价比也算不错,晚上的表演还能看,就是没有原生态的歌手是个遗憾.	1
东西不错 但刚到手就降价了 太伤心了 没有30天内保价吗？	0
挺好，不得不说京东的效率真的杠杠滴。	1
宝贝很不错，正品，质量很好，刚好合身，穿着舒服，老板服务也很周到，快递也很快，非常满意，五分！！！	1
很实惠比在超市买划算多了 味道也很好闻	1
不值这个价钱 口感一般 不好吃	0
瞎**搞，我买的黑色的，你给我发灰色的，你是色盲吧	0
真的不敢在买了，都烂掉了，都不新鲜，再也不会相信京东了，好失望	0
老公每天都要洗头，沙宣的也洗过，说还是痒，又换了这种，他说洗了不错，不会痒了，薄荷的很清凉，夏天用合适。	1
拿出来看了一下挺好的，没有坏，给个赞	1
多次购买了，大小适中，除了有几个有小黑点外没有任何问题，比较满意	1
买的盒装套餐，比单买划算多了，很超值，很实惠。	1
不满意 没那么好	0
去成都住的较多的酒店之一。行政房不错。普通房间里的设施比较老旧了。出门打车基本要等，现在修地铁，门口改了单行道就更不方便了。	1
给老婆买的，还没有用，不过618活动力度很足，希望用着也可以。	1
骗人的问他能穿吗说能，邮过来这幺小	0
我一直在用的，感觉还行，虽然现在市面洗发水很多，我也不知道因该用哪个，但是我哭的这个还行	0
感觉价钱非常贵，房间还算干净，就是有股潮湿味道。设备东西都还蛮齐全的。感觉非常不错。早餐挺好的，吃得比较丰盛。周边也挺便捷。	1
假的，一点都不好用。用到后面都是水了。	0
